app_id,url,title,developer,rating,reviews_count,category
01690b78-e7be-47ea-961b-27f6bb1b06f8,https://apps.shopify.com/elfsight-podcast-player,Elfsight Podcast Player,Elfsight,0,0,Store design
01a7af92-6a1d-4606-930a-1cffda6df19a,https://apps.shopify.com/dropshipcn,DropShipCN ‑ Print on Demand,dropshipcn,3.6,10,Finding and adding products
01c02b59-59c2-4cdc-bad7-648b331c6672,https://apps.shopify.com/shopify-mobile-apps,Tapcart ‑ Mobile App ,Tapcart Inc.,4.7,275,Sales and conversion optimization
025dc928-7822-4945-86ed-5eb6edf51bb7,https://apps.shopify.com/afterpay-installer,Afterpay Install (Unofficial),Crucial Commerce Apps,3.9,20,Sales and conversion optimization
02bf77aa-3925-4daf-b48d-f84743a3ded8,https://apps.shopify.com/rare-io,Smart Email Marketing,Coherent Path Inc.,4.5,169,Marketing
03922859-e051-415a-85ee-6f076b974ef1,https://apps.shopify.com/seal-subscriptions,Seal Subscriptions,Seal - Subscriptions & Recurring Orders,4.5,19,Orders and shipping
041c5687-9917-4e0e-ba7b-41f703305f73,https://apps.shopify.com/cart-button-effects,Ada CTA: Cart Button Animator,Ada Apps,4.8,11,Store design
04389d70-94b5-4cab-9798-13b2d43c8e6b,https://apps.shopify.com/coming-soon-products,Coming Soon Products Preorders,Gravity Software ,4.8,41,Orders and shipping
04a1b028-9ccb-4134-b216-67a98494c709,https://apps.shopify.com/parachute-by-cleverific,Parachute by Cleverific,Cleverific Inc,5,4,Sales and conversion optimization
04bce9db-c6c2-4045-80af-47e964099a14,https://apps.shopify.com/merchbees-low-stock-alert,Merchbees Low Stock Alert,merchbees,5,17,Productivity
04fbef60-934b-4e09-9cbb-daeed4086e9f,https://apps.shopify.com/double-check,Double Check,Avia Solutions,5,3,Orders and shipping
05161333-95e4-4662-a891-75b14e393c6a,https://apps.shopify.com/itd-global-logistics,ITD Global: Connect,Inventive Inspiration,0,0,Orders and shipping
052ae1ac-008e-494e-b0ea-2e16cb37c137,https://apps.shopify.com/simple-sign-up,Simple Sign Up,Useful Shop Apps,5,2,Marketing
054398c3-ba17-48a0-aabc-588a38086aa2,https://apps.shopify.com/related-products-pro,Related Products Pro,app1pro,4.2,7,Sales and conversion optimization
05d89448-2bb9-4dc8-a6bb-f84f8ad1a988,https://apps.shopify.com/ip-log,IP Log,Oriontec,2.1,5,Trust and security
07ad35f2-639e-4642-ac25-729f7b333680,https://apps.shopify.com/spin-a-sale,Spin‑a‑Sale,Spin-a-Sale,4.8,1103,Marketing
07ad3da6-d13b-449d-8d77-fb65d70ef176,https://apps.shopify.com/massfulfill,MassFulfill,Boltics,4.9,108,Productivity
08391ea8-d4a2-43bd-8059-a4d697759895,https://apps.shopify.com/beeapp-cart-animator,Add To Cart Button Animation,Bee - Boost Sales - Upsell,4.4,13,Store design
08b9a74d-107e-4ac1-8f73-996ae3c2c554,https://apps.shopify.com/abandoned-cart-reminder,Abandoned Cart Reminder,SpurIT,4.8,84,Sales and conversion optimization
